indegree histogram
0 7046
1 1
78 1
88 1
98 1
112 1
119 1
128 1
137 1
163 1
188 1
199 1
214 1
232 1
241 1
258 1
301 1
334 1
426 1
490 1
549 1
697 1
738 1
767 1
775 1
779 1
898 1
955 1
1117 1
1120 1
1166 1
1303 1
1327 1
1377 1
1475 1
1560 1
1583 1
1620 1
1932 1
1971 1
2013 1
2182 1
2187 1
2189 1
2240 1
2585 1
2733 1
2771 1
2798 1
2862 1
2940 1
3027 1
3078 1
3160 1
3357 1
3510 1
3526 1
3785 1
3839 1
3866 1
4005 1
4330 1
4380 1
4395 1
4463 1
4584 1
4630 1
4736 1
4767 1
5219 1
5457 1
5464 1
5628 1
5832 1
6266 1
6380 1
6443 1
6472 1
6707 1
6854 1
7172 1
7204 1
7505 1
7508 1
8529 1
8596 1
8661 1
9227 1
9514 1
10116 1
12578 1
12890 1
13001 1
13474 1
14556 1
14697 1
16045 1
16335 1
19462 1
